íîìåð;ãîðîä;íàñåëåíèå
1;Ìîñêâà;5046.0
2;Ñàíêò-Ïåòåðáóðã;3003.0
3;Íèæíèé_Íîâãîðîä;941.0
4;Íîâîñèáèðñê;885.0
5;Ñàìàðà;806.0
6;Åêàòåðèíáóðã;779.0
7;×åëÿáèíñê;689.0
8;Êàçàíü;667.0
9;Ïåðìü;629.0
10;Ðîñòîâ-íà-Äîíó;600.0
11;Âîëãîãðàä;591.0
12;Îìñê;581.1
13;Ñàðàòîâ;579.0
14;Óôà;547.0
15;Âîðîíåæ;447.0
16;Êðàñíîÿðñê;412.0
17;ßðîñëàâëü;407.0
18;Íîâîêóçíåöê;380.0
19;Èðêóòñê;366.0
20;Òóëà;351.0
21;Èâàíîâî;338.0
22;Íèæíèé_Òàãèë;338.0
23;Õàáàðîâñê;323.0
24;Êðàñíîäàð;313.0
25;Ìàãíèòîãîðñê;311.0
26;Áàðíàóë;303.0
27;Àñòðàõàíü;295.8
28;Âëàäèâîñòîê;291.0
29;Êåìåðîâî;289.0
30;Èæåâñê;285.0
31;Ïðîêîïüåâñê;282.0
32;Îðåíáóðã;267.0
33;Àðõàíãåëüñê;262.9
34;Òâåðü;261.0
35;Ïåíçà;255.5
36;Êèðîâ;252.0
37;Ãðîçíûé;250.0
38;Òîìñê;249.0
39;Ìóðìàíñê;222.0
40;Ðÿçàíü;214.0
41;Áðÿíñê;207.0
42;Óëüÿíîâñê;206.0
43;Êóðñê;205.0
44;Êàëèíèíãðàä;204.0
45;Òàãàíðîã;202.0
46;Øàõòû;196.0
47;Ðûáèíñê;182.0
48;Êîìñîìîëüñê-íà-Àìóðå;177.0
49;Îðñê;176.0
50;Óëàí-Óäý;174.0
51;Êîñòðîìà;172.0
52;Òàìáîâ;172.0
53;×èòà;172.0
54;Âëàäèêàâêàç;164.0
55;Äçåðæèíñê;164.0
56;Êîïåéñê;162.0
57;Çëàòîóñò;161.0
58;Ñìîëåíñê;160.0
59;Ëèïåöê;157.0
60;Âëàäèìèð;154.0
61;Îð¸ë;150.0
62;Òþìåíü;150.0
63;Áèéñê;146.0
64;Êóðãàí;146.0
65;Êàìåíñê-Óðàëüñêèé;141.0
66;Ïåòðîçàâîäñê;141.0
67;Ñòàâðîïîëü;141.0
68;Âîëîãäà;139.0
69;Ñûçðàíü;138.0
70;Àíãàðñê;134.4
71;Êàëóãà;134.0
72;Ëåíèíñê-Êóçíåöêèé;132.0
73;Êèñåë¸âñê;130.7
74;Ïîäîëüñê;129.0
75;Ñî÷è;127.0
76;Íîâî÷åðêàññê;123.0
77;×åðåìõîâî;121.7
78;Ìàõà÷êàëà;119.0
79;Êîëîìíà;118.0
80;Íîðèëüñê;118.0
81;Àíæåðî-Ñóäæåíñê;115.6
82;Àðìàâèð;111.0
83;Ðóáöîâñê;111.0
84;Ñòåðëèòàìàê;111.0
85;Îðåõîâî-Çóåâî;108.3
86;Íîâîìîñêîâñê;107.0
87;Áåðåçíèêè;106.0
88;Ñåðïóõîâ;106.0
89;Íîâîøàõòèíñê;104.0
90;Óññóðèéñê;104.0
91;Áåëîâî;100.0
92;Êîâðîâ;99.0
93;Ìûòèùè;99.0
94;Ìèàññ;98.0
95;Ñåðîâ;98.0
96;Ýëåêòðîñòàëü;97.0
97;Áëàãîâåùåíñê;95.0
98;Ëþáåðöû;95.0
99;×åáîêñàðû;94.0
100;Íîâîðîññèéñê;93.0
101;Íîãèíñê;93.0
102;×åðåïîâåö;92.0
103;Ñàðàíñê;91.0
104;Ýíãåëüñ;91.0
105;Ïåðâîóðàëüñê;90.0
106;Éîøêàð-Îëà;89.0
107;Íàëü÷èê;88.0
108;Ïåòðîïàâëîâñê-Êàì÷àòñêèé;86.0
109;Þæíî-Ñàõàëèíñê;85.5
110;Êèíåøìà;85.4
111;×àïàåâñê;83.3
112;Âîðêóòà;83.2
113;Ñîëèêàìñê;82.9
114;Ìàéêîï;82.2
115;Êîðêèíî;81.4
116;Ïñêîâ;81.0
117;Ìè÷óðèíñê;80.6
118;Ñåâåðîäâèíñê;78.7
119;Åëåö;78.0
120;Êèñëîâîäñê;78.0
121;Òðîèöê;76.3
122;Ñåðãèåâ_Ïîñàä;74.0
123;ßêóòñê;74.0
124;Êàíñê;73.8
125;Ëûñüâà;73.0
126;Áåëãîðîä;72.3
127;Êîðîë¸â;72.0
128;Ìóðîì;72.0
129;Òîëüÿòòè;72.0
130;Ïÿòèãîðñê;70.0
131;Ñàðàïóë;69.0
132;Ñûêòûâêàð;69.0
133;Âîëæñêèé;67.0
134;Îñèííèêè;67.0
135;Êóíãóð;64.8
136;Îêòÿáðüñêèé;64.7
137;Øóÿ;64.6
138;Âûøíèé_Âîëî÷¸ê;64.4
139;Áàëàøîâ;64.3
140;Íàõîäêà;64.0
141;Àñáåñò;62.8
142;Íîâîêóéáûøåâñê;62.7
143;Ìàãàäàí;62.2
144;Âîëüñê;61.8
145;Êðàñíîòóðüèíñê;61.7
146;Áóãóëüìà;61.0
147;Âåëèêèé_Íîâãîðîä;61.0
148;Ñàëàâàò;61.0
149;Êèçåë;60.7
150;×óñîâîé;60.7
151;Çåëåíîäîëüñê;60.5
152;Åãîðüåâñê;59.8
153;Âîòêèíñê;59.7
154;Áåëîðåöê;59.3
155;Âåëèêèå_Ëóêè;59.0
156;Ãëàçîâ;59.0
157;Áàëàøèõà;58.0
158;Ù¸ëêîâî;57.8
159;Êàìåíñê-Øàõòèíñêèé;57.5
160;Êóçíåöê;56.9
161;Êàìûøèí;56.5
162;Ñâîáîäíûé;56.3
163;Àáàêàí;56.0
164;Àðò¸ì;55.1
165;Åéñê;55.0
166;Ïàâëîâñêèé_Ïîñàä;55.0
167;Ðåâäà;54.9
168;Áóçóëóê;54.8
169;Êðàñíîêàìñê;54.7
170;Ìåæäóðå÷åíñê;54.5
171;Íîâîòðîèöê;54.5
172;Áîðèñîãëåáñê;54.4
173;Ãóñü-Õðóñòàëüíûé;54.2
174;Êðîïîòêèí;54.0
175;Óçëîâàÿ;53.6
176;Êëèí;53.3
177;Ãóêîâî;53.0
178;Êîòëàñ;52.6
179;Øàäðèíñê;52.3
180;Áàòàéñê;52.0
181;×èñòîïîëü;51.9
182;Âè÷óãà;51.7
183;Âûáîðã;51.1
184;×åðíîãîðñê;51.1
185;Äèìèòðîâãðàä;50.7
186;À÷èíñê;50.3
187;Òèõîðåöê;49.7
188;Áîðîâè÷è;49.5
189;Ðæåâ;49.0
190;Àëüìåòüåâñê;48.6
191;Áåëîãîðñê;48.6
192;Ïàðòèçàíñê;48.5
193;Óñîëüå-Ñèáèðñêîå;48.5
194;Åññåíòóêè;48.0
195;Òàâäà;48.0
196;Ïàâëîâî;47.9
197;Èøèì;47.8
198;Õèìêè;47.8
199;Äåðáåíò;47.3
200;Àëàïàåâñê;47.1
201;Ãóáàõà;47.1
202;Ïîëåâñêîé;47.1
203;Èøèìáàé;46.6
204;Þðãà;46.6
205;Ðàìåíñêîå;46.5
206;Àëåêñèí;46.3
207;Æèãóë¸âñê;46.1
208;Êóøâà;46.1
209;Ïóøêèí;45.6
210;Ìîí÷åãîðñê;45.5
211;Ù¸êèíî;45.5
212;Èðáèò;45.3
213;Èíòà;45.2
214;Êàðïèíñê;45.2
215;Âîñêðåñåíñê;44.8
216;Êóëåáàêè;44.1
217;Ñàòêà;43.1
218;Áðàòñê;43.0
219;Áóãóðóñëàí;42.5
220;Áîð;42.0
221;Êëèíöû;42.0
222;Ëàáèíñê;41.9
223;Òóëóí;41.8
224;Æóêîâñêèé;41.7
225;Ñîêîë;41.7
226;×åðêåññê;41.7
227;Àðçàìàñ;41.5
228;Êèìðû;41.2
229;Ìàðèèíñê;40.8
230;Áèðîáèäæàí;40.7
231;Êèðîâñê;40.5
232;Âûêñà;40.3
233;Êðîíøòàäò;40.3
234;Ñòóïèíî;40.3
235;Ìèíåðàëüíûå_Âîäû;40.1
236;Àçîâ;39.9
237;Êðàñíûé Ñóëèí;39.9
238;Áàðàáèíñê;39.8
239;Íåâèííîìûññê;39.8
240;Âÿçíèêè;39.7
241;Æåëåçíîäîðîæíûé;39.6
242;Ñïàññê-Äàëüíèé;39.6
243;Êèìîâñê;39.5
244;Ìîðøàíñê;39.4
245;Êðàñíîóðàëüñê;39.3
246;Ñëàâÿíñê-íà-Êóáàíè;39.0
247;Íèæíåóäèíñê;38.8
248;Ëåíèíîãîðñê;38.6
249;Çèìà;38.5
250;Ìèíóñèíñê;38.3
251;Ôóðìàíîâ;38.2
252;Êîëü÷óãèíî;37.9
253;Ëèñêè;37.6
254;Ðîñëàâëü;37.4
255;Âåðõíÿÿ_Ñàëäà;37.3
256;Êðàñíîóôèìñê;37.3
257;Êàíäàëàêøà;37.1
258;Âåëèêèé_Óñòþã;37.0
259;Àëàòûðü;36.9
260;Âåðõíèé_Óôàëåé;36.9
261;Àëåêñàíäðîâ;36.7
262;Ãàò÷èíà;36.7
263;Òóàïñå;36.7
264;Âîëõîâ;36.6
265;Àøà;36.5
