<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GAZP;D;20200803;000000;183.6000000;28651930
GAZP;D;20200804;000000;183.3100000;32428960
GAZP;D;20200805;000000;189.1500000;75423620
GAZP;D;20200806;000000;189.0700000;42849450
GAZP;D;20200807;000000;187.2300000;28808600
GAZP;D;20200810;000000;187.7000000;24226570
GAZP;D;20200811;000000;189.7000000;51902080
GAZP;D;20200812;000000;192.8000000;35583620
GAZP;D;20200813;000000;193.7600000;37819700
GAZP;D;20200814;000000;192.8300000;29780320
GAZP;D;20200817;000000;190.4700000;55677760
GAZP;D;20200818;000000;190.3000000;27776390
GAZP;D;20200819;000000;189.2600000;31452990
GAZP;D;20200820;000000;186.9500000;37649810
GAZP;D;20200821;000000;184.5100000;33830700
GAZP;D;20200824;000000;187.1000000;24264740
GAZP;D;20200825;000000;186.2500000;19552010
GAZP;D;20200826;000000;187.4800000;25456340
GAZP;D;20200827;000000;184.5800000;38183770
GAZP;D;20200828;000000;182.9000000;34291080
GAZP;D;20200831;000000;181.0100000;47459530
GAZP;D;20200901;000000;184.2200000;48007480
GAZP;D;20200902;000000;181.9500000;50239120
GAZP;D;20200903;000000;179.1300000;62908720
GAZP;D;20200904;000000;179.5500000;43008870
GAZP;D;20200907;000000;177.0400000;38983590
GAZP;D;20200908;000000;172.9500000;63837660
GAZP;D;20200909;000000;173.6900000;41967040
GAZP;D;20200910;000000;173.8000000;34012170
GAZP;D;20200911;000000;178.0500000;36889720
GAZP;D;20200914;000000;178.1900000;37563920
GAZP;D;20200915;000000;182.2200000;42445100
GAZP;D;20200916;000000;183.2600000;37370250
GAZP;D;20200917;000000;183.9000000;49663210
GAZP;D;20200918;000000;181.5200000;45215700
GAZP;D;20200921;000000;177.1700000;41282960
GAZP;D;20200922;000000;179.0000000;36380350
GAZP;D;20200923;000000;177.0000000;31848780
GAZP;D;20200924;000000;174.2300000;49687540
GAZP;D;20200925;000000;173.7700000;96284070
GAZP;D;20200928;000000;172.7400000;50397970
GAZP;D;20200929;000000;171.4400000;48779600
GAZP;D;20200930;000000;169.9700000;48605100
GAZP;D;20201001;000000;168.4000000;60296370
GAZP;D;20201002;000000;169.4700000;40191130
GAZP;D;20201005;000000;170.6400000;37393020
GAZP;D;20201006;000000;171.3500000;64082980
GAZP;D;20201007;000000;168.2300000;65800100
GAZP;D;20201008;000000;167.4300000;36621350
GAZP;D;20201009;000000;166.9700000;41514910
GAZP;D;20201012;000000;169.0500000;38899590
GAZP;D;20201013;000000;166.3700000;34687990
GAZP;D;20201014;000000;167.2400000;26679740
GAZP;D;20201015;000000;167.1600000;39889410
GAZP;D;20201016;000000;163.9800000;50402810
GAZP;D;20201019;000000;163.6000000;33916860
GAZP;D;20201020;000000;166.5300000;50468030
GAZP;D;20201021;000000;164.3700000;36678920
GAZP;D;20201022;000000;165.2700000;39939480
GAZP;D;20201023;000000;164.9600000;32909950
GAZP;D;20201026;000000;162.1700000;53436340
GAZP;D;20201027;000000;159.2100000;58268970
GAZP;D;20201028;000000;154.3000000;86858100
GAZP;D;20201029;000000;156.7400000;52752800
GAZP;D;20201030;000000;154.2800000;42661020
GAZP;D;20201102;000000;157.7400000;69600850
GAZP;D;20201103;000000;161.0900000;71067000
GAZP;D;20201105;000000;163.7000000;73016160
GAZP;D;20201106;000000;164.9200000;51633910
GAZP;D;20201109;000000;170.1300000;103358560
GAZP;D;20201110;000000;172.9200000;76531040
GAZP;D;20201111;000000;170.5300000;72020230
GAZP;D;20201112;000000;172.9100000;71917150
GAZP;D;20201113;000000;180.3000000;104602920
GAZP;D;20201116;000000;185.3200000;89217810
GAZP;D;20201117;000000;182.9000000;99307240
GAZP;D;20201118;000000;185.0000000;69101570
GAZP;D;20201119;000000;184.1600000;53164780
GAZP;D;20201120;000000;183.2100000;31836360
GAZP;D;20201123;000000;184.1500000;41043100
GAZP;D;20201124;000000;186.7600000;60674430
GAZP;D;20201125;000000;188.0300000;51107720
GAZP;D;20201126;000000;185.5200000;45706250
GAZP;D;20201127;000000;185.9000000;49983540
GAZP;D;20201130;000000;181.8900000;73156960
GAZP;D;20201201;000000;185.3400000;67193810
GAZP;D;20201202;000000;187.2200000;40191320
GAZP;D;20201203;000000;185.1200000;35885290
GAZP;D;20201204;000000;188.7900000;50684840
GAZP;D;20201207;000000;190.7600000;53512780
GAZP;D;20201208;000000;190.0000000;48382270
GAZP;D;20201209;000000;189.3500000;52678040
GAZP;D;20201210;000000;192.9500000;54318200
GAZP;D;20201211;000000;201.5000000;103060380
GAZP;D;20201214;000000;199.9100000;122788480
GAZP;D;20201215;000000;201.0000000;65473740
GAZP;D;20201216;000000;206.2000000;75214780
GAZP;D;20201217;000000;214.5200000;159538150
GAZP;D;20201218;000000;212.6900000;133717910
GAZP;D;20201221;000000;203.4600000;123517830
GAZP;D;20201222;000000;208.4000000;109794540
GAZP;D;20201223;000000;207.6300000;78877050
GAZP;D;20201224;000000;206.2400000;59081790
GAZP;D;20201225;000000;205.0300000;16517780
GAZP;D;20201228;000000;206.1100000;35038710
GAZP;D;20201229;000000;208.7500000;42353620
GAZP;D;20201230;000000;212.9800000;74667210
GAZP;D;20210104;000000;212.7100000;55195430
GAZP;D;20210105;000000;215.3200000;48913740
GAZP;D;20210106;000000;214.3800000;47897590
GAZP;D;20210108;000000;225.4900000;100717800
GAZP;D;20210111;000000;227.6000000;112506470
GAZP;D;20210112;000000;228.6900000;64309460
GAZP;D;20210113;000000;226.8000000;61102300
GAZP;D;20210114;000000;228.8600000;60003270
GAZP;D;20210115;000000;226.5000000;54765970
GAZP;D;20210118;000000;226.8800000;69147920
GAZP;D;20210119;000000;223.1500000;66619900
GAZP;D;20210120;000000;224.3000000;51248650
GAZP;D;20210121;000000;217.2800000;76701270
GAZP;D;20210122;000000;215.4900000;94721320
GAZP;D;20210125;000000;218.6800000;74456540
GAZP;D;20210126;000000;218.8000000;45114650
GAZP;D;20210127;000000;217.4000000;59271760
GAZP;D;20210128;000000;217.7000000;52341000
GAZP;D;20210129;000000;212.8300000;66744580
GAZP;D;20210201;000000;214.6600000;39314420
GAZP;D;20210202;000000;214.4200000;77924880
GAZP;D;20210203;000000;218.1000000;45974890
GAZP;D;20210204;000000;219.7900000;47881150
GAZP;D;20210205;000000;222.0100000;42127830
GAZP;D;20210208;000000;228.0000000;67144040
GAZP;D;20210209;000000;227.7300000;60518190
GAZP;D;20210210;000000;223.2400000;41883700
GAZP;D;20210211;000000;221.3500000;34480880
GAZP;D;20210212;000000;226.7100000;69179250
GAZP;D;20210215;000000;229.2200000;59793600
GAZP;D;20210216;000000;232.4600000;85667580
GAZP;D;20210217;000000;229.1400000;64532970
GAZP;D;20210218;000000;224.4700000;43762150
GAZP;D;20210219;000000;226.0000000;44854360
GAZP;D;20210220;000000;225.8400000;6053880
GAZP;D;20210222;000000;225.6300000;31412770
GAZP;D;20210224;000000;222.5500000;40792480
GAZP;D;20210225;000000;221.7000000;42722110
GAZP;D;20210226;000000;217.5600000;63735100
GAZP;D;20210301;000000;221.4700000;28373590
GAZP;D;20210302;000000;222.7400000;34140160
GAZP;D;20210303;000000;222.1500000;33225100
GAZP;D;20210304;000000;221.1400000;46417010
GAZP;D;20210305;000000;227.0000000;55786000
GAZP;D;20210309;000000;232.1000000;73759850
GAZP;D;20210310;000000;231.6900000;55372950
GAZP;D;20210311;000000;232.4700000;32131810
GAZP;D;20210312;000000;233.8000000;28819550
GAZP;D;20210315;000000;237.7900000;46121290
GAZP;D;20210316;000000;234.0200000;38029020
GAZP;D;20210317;000000;229.9000000;62072590
GAZP;D;20210318;000000;224.3500000;67581990
GAZP;D;20210319;000000;225.4000000;58484100
GAZP;D;20210322;000000;221.8800000;58491290
GAZP;D;20210323;000000;221.6200000;43094210
GAZP;D;20210324;000000;223.6500000;36700010
GAZP;D;20210325;000000;224.8400000;29735720
GAZP;D;20210326;000000;227.3000000;26672930
GAZP;D;20210329;000000;228.7400000;23752090
GAZP;D;20210330;000000;225.9300000;26818410
GAZP;D;20210331;000000;227.2400000;38847380
GAZP;D;20210401;000000;226.9400000;43823600
GAZP;D;20210402;000000;228.4000000;12621010
GAZP;D;20210405;000000;225.0600000;23919530
GAZP;D;20210406;000000;222.9500000;36223380
GAZP;D;20210407;000000;224.5100000;29483660
GAZP;D;20210408;000000;224.3000000;19420190
GAZP;D;20210409;000000;222.1500000;20902100
GAZP;D;20210412;000000;222.8700000;29206290
GAZP;D;20210413;000000;227.9900000;39063400
GAZP;D;20210414;000000;235.3200000;91895500
GAZP;D;20210415;000000;234.6300000;62531120
GAZP;D;20210416;000000;235.1000000;46181390
GAZP;D;20210419;000000;231.1700000;39712830
GAZP;D;20210420;000000;230.0000000;43916060
GAZP;D;20210421;000000;230.8400000;35493950
GAZP;D;20210422;000000;230.9300000;60338620
GAZP;D;20210423;000000;232.6200000;35447230
GAZP;D;20210426;000000;233.2300000;28695180
GAZP;D;20210427;000000;232.0000000;29275690
GAZP;D;20210428;000000;232.9600000;37443310
GAZP;D;20210429;000000;230.5100000;55599370
GAZP;D;20210430;000000;231.3800000;32069550
GAZP;D;20210504;000000;233.8000000;37916850
GAZP;D;20210505;000000;237.5000000;38141220
GAZP;D;20210506;000000;243.0000000;50375470
GAZP;D;20210507;000000;241.7000000;37128000
GAZP;D;20210510;000000;241.4100000;32389560
GAZP;D;20210511;000000;242.5000000;35809800
GAZP;D;20210512;000000;241.7900000;33270270
GAZP;D;20210513;000000;247.1600000;64157170
GAZP;D;20210514;000000;249.5500000;50267520
GAZP;D;20210517;000000;255.1500000;41074310
GAZP;D;20210518;000000;266.2200000;86151870
GAZP;D;20210519;000000;260.9000000;93197170
GAZP;D;20210520;000000;259.1600000;46502970
GAZP;D;20210521;000000;258.0000000;29037660
GAZP;D;20210524;000000;261.2400000;24616020
GAZP;D;20210525;000000;259.7900000;30568090
GAZP;D;20210526;000000;263.0900000;34571110
GAZP;D;20210527;000000;262.9600000;57534350
GAZP;D;20210528;000000;262.0000000;35266300
GAZP;D;20210531;000000;261.0300000;21367010
GAZP;D;20210601;000000;263.8600000;32746740
GAZP;D;20210602;000000;271.1500000;53327960
GAZP;D;20210603;000000;272.1000000;52795050
GAZP;D;20210604;000000;274.3000000;54381240
GAZP;D;20210607;000000;275.6700000;34226150
GAZP;D;20210608;000000;275.3600000;53072570
GAZP;D;20210609;000000;275.6500000;28255880
GAZP;D;20210610;000000;276.1000000;37243570
GAZP;D;20210611;000000;277.0500000;26611040
GAZP;D;20210614;000000;279.5000000;28175830
GAZP;D;20210615;000000;272.7200000;52220420
GAZP;D;20210616;000000;271.8000000;67245290
GAZP;D;20210617;000000;272.5000000;43611060
GAZP;D;20210618;000000;270.0600000;52681210
GAZP;D;20210621;000000;272.6200000;27431480
GAZP;D;20210622;000000;277.0000000;36914430
GAZP;D;20210623;000000;277.3500000;33546790
GAZP;D;20210624;000000;277.4700000;42556030
GAZP;D;20210625;000000;277.1900000;29702030
GAZP;D;20210628;000000;276.9900000;28083560
GAZP;D;20210629;000000;276.8000000;37588780
GAZP;D;20210630;000000;281.8000000;60312970
GAZP;D;20210701;000000;285.7400000;50045350
GAZP;D;20210702;000000;285.6500000;29285170
GAZP;D;20210705;000000;291.1000000;34201020
GAZP;D;20210706;000000;293.4500000;80345400
GAZP;D;20210707;000000;297.3900000;67043710
GAZP;D;20210708;000000;292.8600000;52704630
GAZP;D;20210709;000000;295.2200000;40962550
GAZP;D;20210712;000000;297.3900000;43336120
GAZP;D;20210713;000000;293.8300000;49180620
GAZP;D;20210714;000000;284.6000000;52516030
GAZP;D;20210715;000000;280.0100000;41716630
GAZP;D;20210716;000000;279.6500000;27958640
GAZP;D;20210719;000000;275.5100000;42536580
GAZP;D;20210720;000000;277.3000000;31024530
GAZP;D;20210721;000000;282.9000000;41055170
GAZP;D;20210722;000000;283.2800000;40212130
GAZP;D;20210723;000000;279.5100000;38260370
GAZP;D;20210726;000000;281.0500000;27353690
GAZP;D;20210727;000000;278.0800000;28452110
GAZP;D;20210728;000000;282.2000000;32789740
GAZP;D;20210729;000000;287.0000000;41127080
GAZP;D;20210730;000000;287.3500000;46696620
GAZP;D;20210802;000000;286.7500000;38297270
GAZP;D;20210803;000000;287.0900000;27065240
GAZP;D;20210804;000000;287.9400000;23599750
GAZP;D;20210805;000000;285.9500000;47254880
GAZP;D;20210806;000000;282.2700000;90600850
GAZP;D;20210809;000000;286.6800000;68779100
GAZP;D;20210810;000000;288.6100000;28839550
GAZP;D;20210811;000000;290.3500000;37928360
GAZP;D;20210812;000000;293.2300000;37564370
GAZP;D;20210813;000000;292.7000000;21802270
GAZP;D;20210816;000000;295.1000000;32273890
GAZP;D;20210817;000000;298.3200000;50482060
GAZP;D;20210818;000000;295.0500000;35531240
GAZP;D;20210819;000000;293.6800000;55911470
GAZP;D;20210820;000000;292.5700000;38594640
GAZP;D;20210823;000000;297.6900000;38038340
GAZP;D;20210824;000000;298.7000000;48940480
GAZP;D;20210825;000000;296.7000000;30906470
GAZP;D;20210826;000000;294.3400000;24990510
GAZP;D;20210827;000000;299.6600000;34063060
GAZP;D;20210830;000000;305.1700000;69849150
GAZP;D;20210831;000000;305.6500000;64318080
GAZP;D;20210901;000000;312.8900000;79410570
GAZP;D;20210902;000000;312.3000000;53349820
GAZP;D;20210903;000000;317.9400000;63637790
GAZP;D;20210906;000000;328.9300000;80141350
GAZP;D;20210907;000000;327.7300000;71864800
GAZP;D;20210908;000000;327.6000000;58765620
GAZP;D;20210909;000000;324.5700000;40361580
GAZP;D;20210910;000000;326.4300000;41425440
GAZP;D;20210913;000000;332.7500000;55356420
GAZP;D;20210914;000000;338.9800000;97138220
GAZP;D;20210915;000000;343.3400000;108811990
GAZP;D;20210916;000000;338.5000000;94713520
GAZP;D;20210917;000000;334.5000000;61454980
GAZP;D;20210920;000000;325.7000000;72882270
GAZP;D;20210921;000000;335.3000000;77355030
GAZP;D;20210922;000000;340.5900000;60974110
GAZP;D;20210923;000000;343.4700000;63445330
GAZP;D;20210924;000000;344.2900000;40071320
GAZP;D;20210927;000000;355.1900000;80950780
GAZP;D;20210928;000000;354.0700000;93838880
