<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SIBN;D;20200803;000000;318.7500000;2434820
SIBN;D;20200804;000000;319.1000000;1037590
SIBN;D;20200805;000000;322.8000000;1522290
SIBN;D;20200806;000000;320.5000000;1396450
SIBN;D;20200807;000000;321.3000000;684910
SIBN;D;20200810;000000;322.3000000;598600
SIBN;D;20200811;000000;325.0000000;1227510
SIBN;D;20200812;000000;328.7500000;2453970
SIBN;D;20200813;000000;331.0000000;2331920
SIBN;D;20200814;000000;329.7000000;2001630
SIBN;D;20200817;000000;327.4500000;1681310
SIBN;D;20200818;000000;326.5500000;889080
SIBN;D;20200819;000000;325.5000000;1924520
SIBN;D;20200820;000000;319.5500000;2236980
SIBN;D;20200821;000000;319.1000000;1439940
SIBN;D;20200824;000000;320.1500000;1336890
SIBN;D;20200825;000000;319.5000000;1050810
SIBN;D;20200826;000000;320.7000000;1189590
SIBN;D;20200827;000000;320.0000000;1235890
SIBN;D;20200828;000000;317.5500000;913240
SIBN;D;20200831;000000;317.9500000;1134690
SIBN;D;20200901;000000;317.9500000;1055280
SIBN;D;20200902;000000;313.2500000;1694600
SIBN;D;20200903;000000;313.3500000;1230420
SIBN;D;20200904;000000;314.0000000;621930
SIBN;D;20200907;000000;313.4000000;593110
SIBN;D;20200908;000000;305.3000000;2041510
SIBN;D;20200909;000000;304.4000000;883680
SIBN;D;20200910;000000;306.0500000;712760
SIBN;D;20200911;000000;307.1500000;661900
SIBN;D;20200914;000000;310.3500000;685420
SIBN;D;20200915;000000;316.6000000;1229660
SIBN;D;20200916;000000;314.5000000;1407140
SIBN;D;20200917;000000;305.7000000;2922300
SIBN;D;20200918;000000;304.9500000;1409590
SIBN;D;20200921;000000;295.6000000;2041650
SIBN;D;20200922;000000;295.4000000;1595430
SIBN;D;20200923;000000;292.3500000;1764760
SIBN;D;20200924;000000;289.6500000;1759370
SIBN;D;20200925;000000;292.2000000;982180
SIBN;D;20200928;000000;298.5000000;1002920
SIBN;D;20200929;000000;293.6000000;846430
SIBN;D;20200930;000000;294.8500000;665340
SIBN;D;20201001;000000;293.0000000;530630
SIBN;D;20201002;000000;289.2000000;993100
SIBN;D;20201005;000000;291.7000000;884960
SIBN;D;20201006;000000;297.0000000;932530
SIBN;D;20201007;000000;288.2500000;1296360
SIBN;D;20201008;000000;283.0500000;1226680
SIBN;D;20201009;000000;286.0500000;569210
SIBN;D;20201012;000000;286.3000000;392530
SIBN;D;20201013;000000;283.9500000;825410
SIBN;D;20201014;000000;282.2500000;658640
SIBN;D;20201015;000000;278.1000000;1202370
SIBN;D;20201016;000000;276.5500000;1107300
SIBN;D;20201019;000000;273.5000000;832450
SIBN;D;20201020;000000;277.0500000;1335240
SIBN;D;20201021;000000;278.9000000;1443450
SIBN;D;20201022;000000;283.2000000;748250
SIBN;D;20201023;000000;284.6500000;991800
SIBN;D;20201026;000000;280.8500000;681220
SIBN;D;20201027;000000;277.0000000;522520
SIBN;D;20201028;000000;272.5000000;1007190
SIBN;D;20201029;000000;273.0000000;964420
SIBN;D;20201030;000000;273.4500000;765510
SIBN;D;20201102;000000;274.0000000;1045200
SIBN;D;20201103;000000;284.0000000;1027600
SIBN;D;20201105;000000;289.0000000;1549160
SIBN;D;20201106;000000;288.1000000;909570
SIBN;D;20201109;000000;299.0000000;2476210
SIBN;D;20201110;000000;302.8000000;2511350
SIBN;D;20201111;000000;308.6000000;3776000
SIBN;D;20201112;000000;307.2500000;2203460
SIBN;D;20201113;000000;308.9000000;1195970
SIBN;D;20201116;000000;314.7000000;1841680
SIBN;D;20201117;000000;311.5500000;1928580
SIBN;D;20201118;000000;316.0000000;1827010
SIBN;D;20201119;000000;314.6000000;1085330
SIBN;D;20201120;000000;315.3500000;744320
SIBN;D;20201123;000000;316.6000000;1160360
SIBN;D;20201124;000000;320.0000000;1761830
SIBN;D;20201125;000000;325.5000000;5074500
SIBN;D;20201126;000000;322.5000000;1741370
SIBN;D;20201127;000000;322.4500000;1024500
SIBN;D;20201130;000000;315.8000000;1573450
SIBN;D;20201201;000000;323.2000000;5983600
SIBN;D;20201202;000000;323.5500000;1552920
SIBN;D;20201203;000000;319.4500000;1077120
SIBN;D;20201204;000000;322.8000000;1190040
SIBN;D;20201207;000000;323.5000000;833400
SIBN;D;20201208;000000;322.1500000;797510
SIBN;D;20201209;000000;322.3500000;913990
SIBN;D;20201210;000000;324.5500000;1316930
